Rank,Expected Points Added (EPA),Offense,Defense,Week,Date,Quarter,Time,Down,Distance,Description,Box Scores,Yard Line (Distance from Off. EZ)
,3.18,KC,PIT,19,2022-01-16,2,2:00,3,7,"(2:00) (Shotgun) 15-P.Mahomes pass short right to 13-B.Pringle for 12 yards, TOUCHDOWN. PENALTY on PIT-56-A.Highsmith, Roughing the Passer, 15 yards, enforced between downs.",Box Score,
,3.17,NE,BUF,19,2022-01-15,4,5:19,4,2,"(5:19) (Shotgun) 10-M.Jones pass short right to 16-J.Meyers to NE 49 for 3 yards (46-Jaq.Johnson, 47-C.Lewis). PENALTY on BUF-57-A.Epenesa, Roughing the Passer, 15 yards, enforced at NE 49.",Box Score,
,2.56,ARI,LA,19,2022-01-17,3,5:07,2,8,"(5:07) (No Huddle, Shotgun) 1-K.Murray pass deep middle to 13-C.Kirk to LA 14 for 23 yards (26-T.Burgess). PENALTY on LA-99-A.Donald, Unnecessary Roughness, 7 yards, enforced at LA 14.",Box Score,
,2.27,LV,CIN,19,2022-01-15,2,0:46,3,10,"(:46) (Shotgun) 4-D.Carr scrambles left end ran ob at CIN 34 for 20 yards (55-L.Wilson). PENALTY on CIN-20-E.Apple, Defensive Holding, 5 yards, enforced at CIN 34.",Box Score,
,1.75,LA,ARI,19,2022-01-17,3,12:20,3,8,"(12:20) (No Huddle, Shotgun) 9-M.Stafford pass incomplete deep left to 10-C.Kupp (7-B.Murphy) [45-D.Gardeck]. PENALTY on ARI-7-B.Murphy, Defensive Holding, 5 yards, enforced at LA 44 - No Play.",Box Score,
,1.74,PIT,KC,19,2022-01-16,4,11:28,2,20,"(11:28) (Shotgun) 7-B.Roethlisberger pass short left intended for 14-R.McCloud INTERCEPTED by 38-L.Sneed at PIT 44. 38-L.Sneed to PIT 44 for no gain (14-R.McCloud). PENALTY on KC-97-A.Okafor, Roughing the Passer, 15 yards, enforced at PIT 32 - No Play.",Box Score,
,1.28,TB,PHI,19,2022-01-16,1,14:28,2,10,"(14:28) (No Huddle, Shotgun) 12-T.Brady pass incomplete short right to 16-B.Perriman. PENALTY on PHI-96-D.Barnett, Roughing the Passer, 15 yards, enforced at TB 42 - No Play.",Box Score,
,1.09,BUF,NE,19,2022-01-15,2,9:56,2,2,"(9:56) 26-D.Singletary right guard to NE 32 for 2 yards (54-D.Hightower). PENALTY on NE-95-D.Ekuale, Face Mask (15 Yards), 15 yards, enforced at NE 32.",Box Score,
,0.53,SF,DAL,19,2022-01-16,1,15:00,1,10,"(15:00) PENALTY on DAL-94-R.Gregory, Neutral Zone Infraction, 5 yards, enforced at SF 25 - No Play.",Box Score,
,0.46,ARI,LA,19,2022-01-17,3,4:11,0,0,"(Pass formation) TWO-POINT CONVERSION ATTEMPT. 1-K.Murray pass to 85-A.Wesley is complete. ATTEMPT SUCCEEDS. PENALTY on ARI-68-K.Beachum, Unnecessary Roughness, 15 yards, enforced between downs.",Box Score,
,0.44,BUF,NE,19,2022-01-15,2,11:50,1,10,"(11:50) 17-J.Allen pass short middle to 26-D.Singletary to BUF 36 for 5 yards (21-A.Phillips, 53-K.Van Noy). PENALTY on NE-54-D.Hightower, Illegal Contact, 5 yards, enforced at BUF 31 - No Play.",Box Score,
,-0.65,NE,BUF,19,2022-01-15,3,7:51,3,2,"(7:51) PENALTY on NE, Offensive Too Many Men on Field, 4 yards, enforced at NE 33 - No Play.",Box Score,
,-0.69,KC,PIT,19,2022-01-16,2,8:42,1,10,"(8:42) (Shotgun) PENALTY on KC-81-B.Bell, False Start, 5 yards, enforced at PIT 40 - No Play.",Box Score,
,-0.77,PIT,KC,19,2022-01-16,4,11:37,1,10,"(11:37) (No Huddle, Shotgun) 7-B.Roethlisberger pass incomplete short middle to 13-J.Washington (90-J.Reed) [55-F.Clark]. PENALTY on PIT-65-D.Moore, Offensive Holding, 10 yards, enforced at PIT 42 - No Play.",Box Score,
,-1.25,LA,ARI,19,2022-01-17,1,7:02,1,10,"(7:02) 23-C.Akers left tackle to ARI 8 for 17 yards (58-J.Hicks; 34-J.Thompson). PENALTY on LA-73-D.Edwards, Offensive Holding, 10 yards, enforced at ARI 24.",Box Score,
,-1.29,BUF,NE,19,2022-01-15,3,9:19,1,10,"(9:19) (Shotgun) 17-J.Allen pass short left to 11-C.Beasley to NE 17 for 7 yards (54-D.Hightower). PENALTY on BUF-88-D.Knox, Offensive Pass Interference, 10 yards, enforced at NE 24 - No Play.",Box Score,
