"Rank","Expected Points Added (EPA)","Offense","Defense","Week","Date","Quarter","Time","Down","Distance","Description","Box Scores"
"","3.33","SEA","SF","19","2023-01-14","4","2:00","4","11","(2:00) (Shotgun) 7-G.Smith pass incomplete short left to 16-T.Lockett. PENALTY on SF-26-S.Womack, Defensive Pass Interference, 8 yards, enforced at SF 11 - No Play.","Box Score"
"","2.65","JAX","LAC","19","2023-01-14","4","5:30","2","9","(5:30) (Shotgun) 16-T.Lawrence pass short right to 13-C.Kirk for 9 yards, TOUCHDOWN. PENALTY on LAC-97-J.Bosa, Unsportsmanlike Conduct, 1 yard, enforced between downs.","Box Score"
"","1.85","DAL","TB","19","2023-01-16","1","8:08","2","8","(8:08) (Shotgun) 4-D.Prescott pass short left to 85-N.Brown to DAL 45 for 3 yards (31-A.Winfield, 54-L.David). PENALTY on TB-96-A.Hicks, Roughing the Passer, 15 yards, enforced at DAL 45.","Box Score"
"","1.79","BAL","CIN","19","2023-01-15","2","6:41","3","5","(6:41) (Shotgun) 2-T.Huntley sacked at CIN 7 for -1 yards (sack split by 58-J.Ossai and 24-V.Bell). PENALTY on CIN-23-D.Hill, Face Mask, 3 yards, enforced at CIN 6 - No Play.","Box Score"
"","1.17","MIA","BUF","19","2023-01-15","3","0:07","2","9","(:07) (Shotgun) 19-S.Thompson pass incomplete short left to 85-R.Cracraft. PENALTY on BUF-27-T.White, Defensive Pass Interference, 8 yards, enforced at MIA 42 - No Play.","Box Score"
"","1.17","JAX","LAC","19","2023-01-14","4","8:00","2","19","(8:00) (Shotgun) 16-T.Lawrence pass incomplete short left to 11-M.Jones (36-J.Taylor). PENALTY on LAC-36-J.Taylor, Defensive Pass Interference, 6 yards, enforced at JAX 21 - No Play.","Box Score"
"","0.84","JAX","LAC","19","2023-01-14","3","7:55","3","7","(7:55) (Shotgun) 16-T.Lawrence sacked at LAC 35 for -16 yards (23-B.Callahan). PENALTY on LAC-97-J.Bosa, Defensive Offside, 5 yards, enforced at LAC 19 - No Play.","Box Score"
"","0.65","BUF","MIA","19","2023-01-15","1","6:45","2","9","(6:45) (Shotgun) 17-J.Allen pass incomplete deep middle to 14-S.Diggs. PENALTY on MIA-55-J.Baker, Defensive Offside, 5 yards, enforced at MIA 22 - No Play.","Box Score"
"","0.54","CIN","BAL","19","2023-01-15","1","1:05","1","10","(1:05) (Shotgun) 28-J.Mixon right tackle to BAL 19 for 1 yard (24-M.Peters; 6-P.Queen). PENALTY on BAL-24-M.Peters, Taunting, 10 yards, enforced at BAL 19.","Box Score"
"","0.50","NYG","MIN","19","2023-01-15","4","7:57","1","5","(7:57) 8-D.Jones pass incomplete short right. PENALTY on MIN-7-P.Peterson, Defensive Holding, 3 yards, enforced at MIN 5 - No Play.","Box Score"
"","0.49","MIN","NYG","19","2023-01-15","1","10:57","2","5","(10:57) (Shotgun) PENALTY on NYG-97-D.Lawrence, Encroachment, 5 yards, enforced at NYG 23 - No Play.","Box Score"
"","0.41","DAL","TB","19","2023-01-16","3","11:56","1","10","(11:56) 20-T.Pollard right tackle to TB 27 for 1 yard (31-A.Winfield; 54-L.David). PENALTY on TB-92-W.Gholston, Defensive Holding, 5 yards, enforced at TB 27.","Box Score"
"","0.27","NYG","MIN","19","2023-01-15","4","11:16","1","10","(11:16) 8-D.Jones pass incomplete deep middle to 86-D.Slayton (20-D.Shelley). PENALTY on MIN-39-C.Sullivan, Illegal Contact, 5 yards, enforced at 50 - No Play.","Box Score"
"","0.00","CIN","BAL","19","2023-01-15","3","5:02","0","0","TWO-POINT CONVERSION ATTEMPT. 9-J.Burrow pass to 85-T.Higgins is incomplete. ATTEMPT FAILS. PENALTY on BAL-24-M.Peters, Defensive Pass Interference, 1 yard, enforced at BAL 2 - No Play.","Box Score"
"","-0.46","DAL","TB","19","2023-01-16","2","1:19","2","10","(1:19) (Shotgun) PENALTY on DAL, Delay of Game, 5 yards, enforced at TB 45 - No Play.","Box Score"
"","-0.48","SEA","SF","19","2023-01-14","4","4:50","1","10","(4:50) (Shotgun) 7-G.Smith pass short middle to 9-K.Walker to SEA 24 for no gain (51-A.Al-Shaair; 30-G.Odum). PENALTY on SEA-68-D.Lewis, Ineligible Downfield Pass, 5 yards, enforced at SEA 24 - No Play. 0 YAC","Box Score"
